signal_key,signal_label,run_id,start_date,end_date,run_length_trading_days,phase,raw_h1_mean_bp,directional_h1_mean_bp
minus_entry,零段向下（0→-1）,102,2023-11-29,2023-11-29,1,Validation,-72.01919548042501,72.01919548042501
minus_entry,零段向下（0→-1）,103,2024-03-21,2024-03-21,1,Validation,-93.14749073164874,93.14749073164874
minus_entry,零段向下（0→-1）,104,2024-04-09,2024-04-09,1,Validation,77.92256164129485,-77.92256164129485
minus_entry,零段向下（0→-1）,105,2024-04-25,2024-04-25,1,Validation,34.16289002592832,-34.16289002592832
minus_entry,零段向下（0→-1）,106,2024-06-13,2024-06-13,1,Validation,-98.66550446513855,98.66550446513855
minus_entry,零段向下（0→-1）,107,2024-06-24,2024-06-24,1,Validation,-165.0596392195669,165.0596392195669
minus_entry,零段向下（0→-1）,108,2024-07-24,2024-07-24,1,Validation,-144.01775613412383,144.01775613412383
minus_entry,零段向下（0→-1）,109,2024-08-14,2024-08-14,1,Validation,-154.5929516983602,154.5929516983602
minus_entry,零段向下（0→-1）,110,2024-08-26,2024-08-26,1,Validation,-22.827708135347848,22.827708135347848
minus_entry,零段向下（0→-1）,111,2024-09-12,2024-09-12,1,Validation,-41.14482972095268,41.14482972095268
minus_entry,零段向下（0→-1）,112,2024-11-19,2024-11-19,1,Validation,143.42587311115597,-143.42587311115597
minus_entry,零段向下（0→-1）,113,2024-12-06,2024-12-06,1,Validation,135.23421060066988,-135.23421060066988
minus_entry,零段向下（0→-1）,114,2024-12-23,2024-12-23,1,Validation,-152.9889878217594,152.9889878217594
minus_entry,零段向下（0→-1）,115,2025-01-20,2025-01-20,1,Test,31.446525777907297,-31.446525777907297
minus_entry,零段向下（0→-1）,116,2025-03-27,2025-03-27,1,Test,37.443132269416864,-37.443132269416864
minus_entry,零段向下（0→-1）,117,2025-04-03,2025-04-03,1,Test,-545.3944976400716,545.3944976400716
minus_entry,零段向下（0→-1）,118,2025-04-14,2025-04-14,1,Test,-15.58225782082423,15.58225782082423
minus_entry,零段向下（0→-1）,119,2025-05-19,2025-05-19,1,Test,7.111537757529263,-7.111537757529263
minus_entry,零段向下（0→-1）,120,2025-05-27,2025-05-27,1,Test,-25.46140007663178,25.46140007663178
minus_entry,零段向下（0→-1）,121,2025-06-16,2025-06-16,1,Test,82.60799308940081,-82.60799308940081
