date,target_date,open,close,target_return,target_bp,phase,up_score,up_predicted,up_actual_extreme,up_score_excess,down_score,down_predicted,down_actual_extreme,down_score_excess,conflict,marker
2022-01-14,2022-01-17,7063.4231,7081.1408,0.0024340323036857736,24.340323036857736,Development,0.7722850630503826,0,0,-0.041226412319534944,0.41896873933790957,0,0,-0.26424609055023174,0,none
2022-01-17,2022-01-18,7080.6157,7157.8593,0.01165332274705988,116.5332274705988,Development,0.5592232513348803,0,0,-0.25428822403503726,0.47758105704096276,0,0,-0.20563377284717854,0,none
2022-01-18,2022-01-19,7163.1284,7163.1586,-0.0026038343805200315,-26.038343805200313,Development,0.4953821348933844,0,0,-0.31812934047653313,0.4641883513873839,0,0,-0.2190264785007574,0,none
2022-01-19,2022-01-20,7144.4768,7118.762,-0.0034945456047950074,-34.945456047950074,Development,0.47175872050084783,0,0,-0.3417527548690697,0.46347206391754897,0,0,-0.21974276597059234,0,none
2022-01-20,2022-01-21,7119.5101,7056.7854,-0.011457417554615268,-114.57417554615267,Development,0.6486272462700264,0,0,-0.1648842290998911,0.42782263637007767,0,0,-0.25539219351806364,0,none
2022-01-21,2022-01-24,7037.9389,6976.6155,-0.01350126810563812,-135.0126810563812,Development,0.7108676690636007,0,0,-0.10264380630631686,0.3503972430050447,0,0,-0.3328175868830966,0,none
2022-01-24,2022-01-25,6942.9178,6979.2456,0.002459657523238956,24.59657523238956,Development,0.5213908106489709,0,0,-0.29212066472094667,0.3966667419948008,0,0,-0.2865480878933405,0,none
2022-01-25,2022-01-26,6959.995,6743.9566,-0.028397161204857135,-283.97161204857133,Development,0.43217414105642343,0,0,-0.3813373343134941,0.4295688649504431,0,1,-0.2536459649376982,0,none
2022-01-26,2022-01-27,6762.3509,6782.5763,0.0028477078880955187,28.477078880955187,Development,0.6596523997796013,0,0,-0.1538590755903162,0.41903407677188664,0,0,-0.26418075311625466,0,none
2022-01-27,2022-01-28,6781.6081,6605.9159,-0.01348243641504443,-134.8243641504443,Development,0.41658744455018676,0,0,-0.39692403081973077,0.4745734397940875,0,0,-0.2086413900940538,0,none
2022-01-28,2022-02-07,6690.1755,6580.53,-0.0038275976467284645,-38.27597646728464,Development,0.44371759160380747,0,0,-0.36979388376611005,0.4545298226252566,0,0,-0.2286850072628847,0,none
2022-02-07,2022-02-08,6664.5682,6676.6122,0.0021638611185643697,21.638611185643697,Development,0.4117823223612359,0,0,-0.4017291530086816,0.47248180309977295,0,0,-0.21073302678836836,0,none
2022-02-08,2022-02-09,6678.9894,6742.1921,0.008648269452261825,86.48269452261826,Development,0.39742721771361245,0,0,-0.4160842576563051,0.4638343952620773,0,0,-0.219380434626064,0,none
2022-02-09,2022-02-10,6736.7511,6843.0271,0.01549852420701714,154.98524207017138,Development,0.37239990430179043,0,0,-0.4411115710681271,0.4586024979001566,0,0,-0.2246123319879847,0,none
2022-02-10,2022-02-11,6841.1608,6840.485,-0.004294753603803603,-42.94753603803603,Development,0.3876810785851117,0,0,-0.42583039678480583,0.484116628848515,0,0,-0.19909820103962633,0,none
2022-02-11,2022-02-14,6811.7797,6745.0235,-0.014708667105015172,-147.08667105015172,Development,0.45017381247343397,0,0,-0.36333766289648356,0.4713315860307873,0,0,-0.21188324385735402,0,none
2022-02-14,2022-02-15,6711.5875,6695.6958,-0.0016046278171892858,-16.046278171892858,Development,0.6606205532247154,0,0,-0.15289092214520217,0.39527496467396517,0,0,-0.28793986521417614,0,none
2022-02-15,2022-02-16,6700.8179,6760.2776,0.011698542054097594,116.98542054097594,Development,0.4178247948600684,0,0,-0.3956866805098491,0.39566191671044115,0,0,-0.28755291317770015,0,none
2022-02-16,2022-02-17,6779.2077,6772.0336,-0.0021939731983723343,-21.93973198372334,Development,0.36972004936809766,0,0,-0.44379142600181987,0.398593508621373,0,0,-0.2846213212667683,0,none
2022-02-17,2022-02-18,6764.3343,6768.7888,-0.00440772124464639,-44.077212446463896,Development,0.36532359262297875,0,0,-0.44818788274693877,0.31345800629559634,0,0,-0.36975682359254497,0,none
2022-02-18,2022-02-21,6734.519,6835.0217,0.016120735571463873,161.20735571463874,Development,0.37926551667142294,0,0,-0.4342459586984946,0.32771656885357,0,0,-0.35549826103457133,0,none
2022-02-21,2022-02-22,6843.0844,6867.1129,-0.0023436069267244175,-23.436069267244175,Development,0.3644125550373536,0,0,-0.44909892033256393,0.3754942482344204,0,0,-0.3077205816537209,0,none
2022-02-22,2022-02-23,6827.0469,6784.7622,-0.0061437544833624624,-61.43754483362463,Development,0.4195177315421589,0,0,-0.39399374382775865,0.33670396555506327,0,0,-0.34651086433307804,0,none
2022-02-23,2022-02-24,6785.1032,6887.4236,0.011246446479988847,112.46446479988847,Development,0.5177182128368081,0,0,-0.29579326253310945,0.3442639427880399,0,0,-0.3389508871001014,0,none
2022-02-24,2022-02-25,6861.4115,6764.8756,-0.008128662739437909,-81.28662739437908,Development,0.3974572224450296,0,0,-0.4160542529248879,0.3807884990629522,0,0,-0.3024263308251891,0,none
2022-02-25,2022-02-28,6805.6374,6819.4311,0.00379833636155813,37.9833636155813,Development,0.9147003654720961,1,0,0.10118889010217857,0.38573547030697863,0,0,-0.2974793595811627,0,up
2022-02-28,2022-03-01,6831.4875,6853.3081,0.005435756121928037,54.35756121928037,Development,0.6582706458919637,0,0,-0.1552408294779538,0.3591999531026181,0,0,-0.3240148767855232,0,none
2022-03-01,2022-03-02,6868.6218,6874.0447,-0.0022639621823405953,-22.639621823405953,Development,0.3881819151141254,0,0,-0.4253295602557921,0.32174292506272756,0,0,-0.36147190482541375,0,none
2022-03-02,2022-03-03,6853.0715,6875.2404,0.006990412984893002,69.90412984893001,Development,0.4293923615577646,0,0,-0.3841191138121529,0.3096499613011711,0,0,-0.3735648685869702,0,none
2022-03-03,2022-03-04,6900.9773,6859.5522,-0.011178489168483408,-111.78489168483408,Development,0.42219738551612457,0,0,-0.39131408985379296,0.3437416897764434,0,0,-0.3394731401116979,0,none
2022-03-04,2022-03-07,6823.8348,6803.8337,-0.003380415950280602,-33.804159502806016,Development,0.49045984479856897,0,0,-0.32305163057134856,0.3878879333888238,0,0,-0.2953268964993175,0,none
2022-03-07,2022-03-08,6800.7674,6659.3902,-0.022083934233657176,-220.83934233657178,Development,0.7337372024382464,0,0,-0.07977427293167116,0.4257507941942037,0,1,-0.2574640356939376,0,none
2022-03-08,2022-03-09,6650.5797,6429.8888,-0.03118183817870801,-311.8183817870801,Development,0.8090838095500714,0,0,-0.004427665819846105,0.45316222346519286,0,1,-0.23005260642294845,0,none
2022-03-09,2022-03-10,6443.2024,6305.6093,-0.0028386971050297083,-28.386971050297085,Development,0.9030903191056951,1,0,0.08957884373577762,0.553582167570779,0,0,-0.12963266231736226,0,up
2022-03-10,2022-03-11,6424.9121,6414.9402,-0.012720220717105102,-127.20220717105101,Development,0.7044811097709422,0,0,-0.10903036559897528,0.5818883145264203,0,0,-0.10132651536172099,0,none
2022-03-11,2022-03-14,6343.1858,6474.1269,0.011989763881739002,119.89763881739002,Development,0.5676296699666977,0,0,-0.2458818054032198,0.39840085465573766,0,0,-0.28481397523240365,0,none
2022-03-14,2022-03-15,6419.2391,6323.5779,-0.02286811531915056,-228.68115319150562,Development,0.3899880184439869,0,0,-0.42352345692593063,0.4253162744791162,0,1,-0.2578985554090251,0,none
2022-03-15,2022-03-16,6272.4432,5964.9813,-0.03245040146397804,-324.5040146397804,Development,0.5336565564108662,0,0,-0.27985491895905135,0.4320775750126644,0,1,-0.2511372548754769,0,none
2022-03-16,2022-03-17,6068.8999,6156.2714,0.02714557872341894,271.4557872341894,Development,0.8706748784398146,1,1,0.05716340306989709,0.4729567431403667,0,0,-0.21025808674777463,0,up
2022-03-17,2022-03-18,6233.6437,6267.5244,0.0025398147154287454,25.398147154287454,Development,0.3918706342976108,0,0,-0.4216408410723067,0.4843231620647646,0,0,-0.1988916678233767,0,none
2022-03-18,2022-03-21,6249.476,6332.2166,0.01457448592489996,145.7448592489996,Development,0.7108523474667479,0,0,-0.10265912790316967,0.4946237571237956,0,0,-0.18859107276434572,0,none
