series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,source_detail,zero_transfer_days,aligned_segment_return,is_directional
仅零段反转（0→-1/0→+1）,151,0,2021-01-15,2021-01-18,2021,Train,2,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,152,1,2021-01-19,2021-01-20,2021,Train,2,0.006440797570073431,True,0转+1持有,2,0.006440797570073431,True
仅零段反转（0→-1/0→+1）,153,0,2021-01-21,2021-01-22,2021,Train,2,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,154,1,2021-01-25,2021-01-25,2021,Train,1,-0.0022710972373488625,True,0转+1持有,1,-0.0022710972373488625,True
仅零段反转（0→-1/0→+1）,155,0,2021-01-26,2021-02-01,2021,Train,5,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,156,-1,2021-02-02,2021-02-18,2021,Train,8,-0.031064475368326683,True,0转-1持有；基础-1,3,-0.031064475368326683,True
仅零段反转（0→-1/0→+1）,157,0,2021-02-19,2021-02-19,2021,Train,1,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,158,1,2021-02-22,2021-02-22,2021,Train,1,-0.017515250006335914,True,0转+1持有,1,-0.017515250006335914,True
仅零段反转（0→-1/0→+1）,159,0,2021-02-23,2021-02-24,2021,Train,2,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,160,1,2021-02-25,2021-02-26,2021,Train,2,-0.02901657915977085,True,0转+1持有,2,-0.02901657915977085,True
仅零段反转（0→-1/0→+1）,161,0,2021-03-01,2021-03-04,2021,Train,4,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,162,-1,2021-03-05,2021-03-12,2021,Train,6,0.020012150345789403,True,0转-1持有；基础-1,1,0.020012150345789403,True
仅零段反转（0→-1/0→+1）,163,0,2021-03-15,2021-03-15,2021,Train,1,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,164,1,2021-03-16,2021-03-16,2021,Train,1,0.0007811279942895322,True,0转+1持有,1,0.0007811279942895322,True
仅零段反转（0→-1/0→+1）,165,-1,2021-03-17,2021-03-29,2021,Train,9,-0.010051623484410577,True,基础-1；0转-1持有,4,-0.010051623484410577,True
仅零段反转（0→-1/0→+1）,166,0,2021-03-30,2021-04-01,2021,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,167,1,2021-04-02,2021-04-06,2021,Train,2,0.005351247954713534,True,0转+1持有,2,0.005351247954713534,True
仅零段反转（0→-1/0→+1）,168,0,2021-04-07,2021-04-09,2021,Train,3,0.0,True,零段同日冲突置0；基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,169,1,2021-04-12,2021-05-07,2021,Train,17,0.02180148103124191,True,基础+1,0,0.02180148103124191,True
仅零段反转（0→-1/0→+1）,170,-1,2021-05-10,2021-05-10,2021,Train,1,0.0038887127321765025,True,0转-1持有,1,0.0038887127321765025,True
仅零段反转（0→-1/0→+1）,171,0,2021-05-11,2021-05-13,2021,Train,3,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,172,1,2021-05-14,2021-05-18,2021,Train,3,0.019641201811740894,True,0转+1持有,3,0.019641201811740894,True
仅零段反转（0→-1/0→+1）,173,0,2021-05-19,2021-05-19,2021,Train,1,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,174,-1,2021-05-20,2021-05-21,2021,Train,2,0.0038458325820558414,True,0转-1持有,2,0.0038458325820558414,True
仅零段反转（0→-1/0→+1）,175,0,2021-05-24,2021-05-28,2021,Train,5,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,176,1,2021-05-31,2021-06-09,2021,Train,8,0.0012431177041090091,True,基础+1,0,0.0012431177041090091,True
仅零段反转（0→-1/0→+1）,177,-1,2021-06-10,2021-06-10,2021,Train,1,-0.012681311523564665,True,0转-1持有,1,-0.012681311523564665,True
仅零段反转（0→-1/0→+1）,178,0,2021-06-11,2021-06-15,2021,Train,2,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,179,1,2021-06-16,2021-06-24,2021,Train,7,0.013621311196348018,True,0转+1持有,7,0.013621311196348018,True
仅零段反转（0→-1/0→+1）,180,0,2021-06-25,2021-06-30,2021,Train,4,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,181,-1,2021-07-01,2021-07-02,2021,Train,2,0.023163777182204526,True,0转-1持有,2,0.023163777182204526,True
仅零段反转（0→-1/0→+1）,182,0,2021-07-05,2021-07-07,2021,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,183,1,2021-07-08,2021-07-08,2021,Train,1,-0.007857877423258386,True,0转+1持有,1,-0.007857877423258386,True
仅零段反转（0→-1/0→+1）,184,0,2021-07-09,2021-07-12,2021,Train,2,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,185,1,2021-07-13,2021-07-16,2021,Train,4,0.0016196220510991122,True,0转+1持有,4,0.0016196220510991122,True
仅零段反转（0→-1/0→+1）,186,-1,2021-07-19,2021-07-21,2021,Train,3,-0.012316748974631864,True,0转-1持有,3,-0.012316748974631864,True
仅零段反转（0→-1/0→+1）,187,0,2021-07-22,2021-07-23,2021,Train,2,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,188,1,2021-07-26,2021-08-04,2021,Train,8,-0.0067199752892304065,True,基础+1；0转+1持有,3,-0.0067199752892304065,True
仅零段反转（0→-1/0→+1）,189,0,2021-08-05,2021-08-06,2021,Train,2,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,190,-1,2021-08-09,2021-08-09,2021,Train,1,-0.008172009003110103,True,0转-1持有,1,-0.008172009003110103,True
仅零段反转（0→-1/0→+1）,191,0,2021-08-10,2021-08-17,2021,Train,6,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,192,-1,2021-08-18,2021-08-20,2021,Train,3,-0.00957696093250282,True,0转-1持有,3,-0.00957696093250282,True
