date,three_state,minus_exit_signal,plus_exit_signal,nonzero_final_three_state,close,o2o_h1,phase
2023-02-03,1,0,0,1,6343.6861,-0.006312479705025242,Validation
2023-02-06,1,0,0,1,6302.3349,-0.0008517721511871468,Validation
2023-02-07,1,0,0,1,6317.2377,0.00163181796345091,Validation
2023-02-08,1,0,0,1,6268.2759,-0.010001398208255408,Validation
2023-02-09,1,0,0,1,6354.562,0.014814957130337758,Validation
2023-02-10,1,0,0,1,6334.252,-0.0024854310113811007,Validation
2023-02-13,1,0,0,1,6383.8279,0.009694942827971564,Validation
2023-02-14,1,0,0,1,6397.2146,0.000665231126492527,Validation
2023-02-15,1,0,0,1,6384.3479,-0.0022908719792631427,Validation
2023-02-16,1,0,0,1,6289.4786,-0.01555273557929493,Validation
2023-02-17,0,0,0,0,6237.4053,-0.0058341212640250495,Validation
2023-02-20,0,0,0,0,6346.0678,0.01626879694660377,Validation
2023-02-21,0,0,0,0,6383.4248,0.00033392614515559416,Validation
2023-02-22,0,0,0,0,6375.0684,0.0039774701857004935,Validation
2023-02-23,0,0,0,0,6360.3202,-0.0015149689307806247,Validation
2023-02-24,0,0,0,0,6340.8435,-0.007693881638337952,Validation
2023-02-27,0,0,0,0,6307.2057,0.000823341822977719,Validation
2023-02-28,0,0,0,0,6357.5352,0.005164866792918055,Validation
2023-03-01,0,0,0,0,6402.1411,0.006568516795436352,Validation
2023-03-02,0,0,0,0,6382.2322,-0.0022182137342637853,Validation
2023-03-03,0,0,0,0,6390.3177,0.0021990225786596707,Validation
2023-03-06,0,0,0,0,6395.2191,-0.0012959155091970542,Validation
2023-03-07,0,0,0,0,6284.2986,-0.01962177002765464,Validation
2023-03-08,0,0,0,0,6301.5157,0.0074405634413914346,Validation
2023-03-09,0,0,0,0,6285.9521,-0.009425130783466074,Validation
2023-03-10,0,0,0,0,6204.8989,-0.009850965199086348,Validation
2023-03-13,0,0,0,0,6245.0029,0.007714811693699364,Validation
2023-03-14,0,0,0,0,6189.3969,-0.004296851165710769,Validation
2023-03-15,-1,0,0,-1,6224.64,-0.0031609608097211694,Validation
2023-03-16,-1,0,0,-1,6140.8317,-0.0027625236107694517,Validation
2023-03-17,-1,0,0,-1,6183.1843,0.003426958595180718,Validation
2023-03-20,-1,0,0,-1,6160.3541,-0.003787517691089204,Validation
2023-03-21,-1,0,0,-1,6234.6793,0.01174304008486482,Validation
2023-03-22,-1,0,0,-1,6269.7384,0.0014757471711723813,Validation
2023-03-23,0,0,0,0,6305.7585,0.009411157204194831,Validation
2023-03-24,0,0,0,0,6310.0979,-0.0012596732149523504,Validation
2023-03-27,0,0,0,0,6311.5998,0.0016024955717197642,Validation
2023-03-28,0,0,0,0,6279.9217,-0.00453366502274144,Validation
2023-03-29,0,0,0,0,6260.551,-0.004504344201442634,Validation
2023-03-30,0,0,0,0,6286.1773,0.0043486683269944315,Validation
2023-03-31,0,0,0,0,6339.8183,0.009839579043720459,Validation
2023-04-03,0,0,0,0,6413.8073,0.010733968913729353,Validation
2023-04-04,0,0,0,0,6408.8994,-0.004300792522911379,Validation
2023-04-06,1,0,0,1,6416.8456,0.004858319701052327,Validation
2023-04-07,1,0,0,1,6464.4664,0.008831271889401915,Validation
2023-04-10,1,0,0,1,6410.5218,-0.010704899804886203,Validation
2023-04-11,1,0,0,1,6420.877,0.0015729761636638084,Validation
2023-04-12,1,0,0,1,6443.4391,0.0035007850580632827,Validation
2023-04-13,1,0,0,1,6404.6463,-0.002772840293376766,Validation
2023-04-14,1,0,0,1,6431.0688,0.00039797132594077134,Validation
2023-04-17,1,0,0,1,6459.2396,0.004030847969152207,Validation
2023-04-18,1,0,0,1,6449.8531,-0.0006022711510351719,Validation
2023-04-19,1,0,0,1,6416.9696,-0.0055959058058028255,Validation
2023-04-20,1,0,0,1,6411.7564,0.00042223142379516077,Validation
2023-04-21,0,0,0,0,6250.5446,-0.02504091974411604,Validation
2023-04-24,0,0,0,0,6208.7797,-0.0072540977082972136,Validation
