date,open,high,low,close,volume,amount,prev_close,next_execution_date
2023-08-17,5808.9095,5882.1512,5778.5287,5874.3609,11357638400.0,120852973476.6,5833.2155,2023-08-18
2023-08-18,5875.1097,5891.3976,5777.7972,5777.7972,10293184500.0,109766358594.4,5874.3609,2023-08-21
2023-08-21,5764.6679,5802.5119,5710.7783,5710.7783,9283569800.0,96691987125.6,5777.7972,2023-08-22
2023-08-22,5733.2548,5754.5746,5646.5119,5741.0606,10617519300.0,120035178924.1,5710.7783,2023-08-23
2023-08-23,5732.3943,5732.3943,5629.4999,5629.4999,9418672500.0,101871329162.8,5741.0606,2023-08-24
2023-08-24,5650.3593,5701.3208,5619.333,5652.6729,10808677100.0,120640882887.6,5629.4999,2023-08-25
2023-08-25,5624.7697,5648.624,5560.2171,5581.2116,10624160200.0,114730298316.4,5652.6729,2023-08-28
2023-08-28,5885.8843,5887.5085,5631.694,5644.1405,18574561900.0,181457042375.4,5581.2116,2023-08-29
2023-08-29,5631.006,5789.9623,5626.5175,5770.3155,16085189500.0,165476278766.7,5644.1405,2023-08-30
2023-08-30,5780.2848,5817.7342,5753.2161,5775.1534,13600438400.0,145078565405.8,5770.3155,2023-08-31
2023-08-31,5770.9531,5777.422,5728.4729,5739.3984,11633513400.0,121252796160.9,5775.1534,2023-09-01
2023-09-01,5746.4128,5775.1769,5732.9674,5750.8027,10417910300.0,107061408580.6,5739.3984,2023-09-04
2023-09-04,5772.0266,5829.784,5758.0309,5829.784,13564887300.0,135994054181.1,5750.8027,2023-09-05
2023-09-05,5819.9667,5822.0615,5779.3725,5788.7149,10651765800.0,114971726102.7,5829.784,2023-09-06
2023-09-06,5771.849,5800.9647,5748.6467,5790.3806,9048050200.0,106512753384.6,5788.7149,2023-09-07
2023-09-07,5782.0706,5782.0706,5701.7975,5702.7008,9292051800.0,105713167275.8,5790.3806,2023-09-08
2023-09-08,5684.6558,5732.3747,5683.3973,5708.6227,7952002800.0,93059123325.2,5702.7008,2023-09-11
2023-09-11,5723.0181,5802.2053,5704.7003,5774.7305,11283713700.0,132425678094.5,5708.6227,2023-09-12
2023-09-12,5774.4661,5793.829,5763.2995,5770.9259,8604120700.0,105032116597.9,5774.7305,2023-09-13
2023-09-13,5764.8241,5770.4141,5681.5003,5715.3973,9147247300.0,101933192541.5,5770.9259,2023-09-14
2023-09-14,5714.6748,5721.2073,5679.199,5702.102,9024779200.0,97979765540.8,5715.3973,2023-09-15
2023-09-15,5716.2937,5741.0711,5680.8954,5704.6632,9837596400.0,110557876200.1,5702.102,2023-09-18
2023-09-18,5685.8527,5734.1861,5665.579,5719.6887,9230572200.0,109249767455.6,5704.6632,2023-09-19
2023-09-19,5713.4945,5713.6003,5670.4201,5687.9007,8511210200.0,94544819485.1,5719.6887,2023-09-20
2023-09-20,5677.9249,5689.8254,5651.0062,5651.0062,7763415800.0,84080282560.4,5687.9007,2023-09-21
2023-09-21,5638.4406,5666.6958,5609.2143,5611.9186,8193150900.0,84847061987.6,5651.0062,2023-09-22
2023-09-22,5606.8347,5700.323,5603.8126,5698.8168,10411898200.0,120276386023.4,5611.9186,2023-09-25
2023-09-25,5694.9025,5699.1544,5659.3191,5666.6642,9334071900.0,114172282948.0,5698.8168,2023-09-26
2023-09-26,5661.0321,5682.2786,5646.6544,5646.6544,7430961500.0,100424427689.8,5666.6642,2023-09-27
2023-09-27,5642.3852,5701.5084,5641.8508,5674.3451,8108624000.0,102149151673.6,5646.6544,2023-09-28
2023-09-28,5687.6411,5704.6228,5677.531,5690.7697,7947733800.0,101456952317.7,5674.3451,2023-10-09
2023-10-09,5679.6412,5680.9516,5634.3532,5658.0832,9002983600.0,109095282387.9,5690.7697,2023-10-10
2023-10-10,5665.6622,5678.4631,5627.4139,5630.3714,8772642500.0,104621240810.9,5658.0832,2023-10-11
