series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,aligned_segment_return,is_directional
Adj 1545,86,0,2019-10-10,2019-11-07,2019,Train,21,0.0,True,0.0,False
Adj 1545,87,-1,2019-11-08,2019-11-11,2019,Train,2,0.03155566336379756,True,0.03155566336379756,True
Adj 1545,88,0,2019-11-12,2019-11-20,2019,Train,7,0.0,True,0.0,False
Adj 1545,89,-1,2019-11-21,2019-11-26,2019,Train,4,0.009801115626563717,True,0.009801115626563717,True
Adj 1545,90,0,2019-11-27,2019-12-06,2019,Train,8,0.0,True,0.0,False
Adj 1545,91,1,2019-12-09,2020-01-10,2019,Train,24,0.08844685473994085,True,0.08844685473994085,True
Adj 1545,92,0,2020-01-13,2020-02-03,2020,Train,10,0.0,True,0.0,False
Adj 1545,93,1,2020-02-04,2020-02-10,2020,Train,5,0.13208315771172652,True,0.13208315771172652,True
Adj 1545,94,0,2020-02-11,2020-02-14,2020,Train,4,0.0,True,0.0,False
Adj 1545,95,-1,2020-02-17,2020-02-17,2020,Train,1,-0.02811963547059615,True,-0.02811963547059615,True
Adj 1545,96,0,2020-02-18,2020-02-18,2020,Train,1,0.0,True,0.0,False
Adj 1545,97,1,2020-02-19,2020-02-24,2020,Train,4,0.016295119195926855,True,0.016295119195926855,True
Adj 1545,98,0,2020-02-25,2020-02-27,2020,Train,3,0.0,True,0.0,False
Adj 1545,99,1,2020-02-28,2020-02-28,2020,Train,1,-0.007552007894047641,True,-0.007552007894047641,True
Adj 1545,100,0,2020-03-02,2020-03-02,2020,Train,1,0.0,True,0.0,False
Adj 1545,101,1,2020-03-03,2020-03-04,2020,Train,2,0.0070103298945448644,True,0.0070103298945448644,True
Adj 1545,102,0,2020-03-05,2020-03-13,2020,Train,7,0.0,True,0.0,False
Adj 1545,103,-1,2020-03-16,2020-03-19,2020,Train,4,0.0505550797217158,True,0.0505550797217158,True
Adj 1545,104,0,2020-03-20,2020-03-25,2020,Train,4,0.0,True,0.0,False
Adj 1545,105,1,2020-03-26,2020-03-31,2020,Train,4,-0.029071058392499016,True,-0.029071058392499016,True
Adj 1545,106,0,2020-04-01,2020-04-01,2020,Train,1,0.0,True,0.0,False
Adj 1545,107,-1,2020-04-02,2020-04-02,2020,Train,1,-0.02898648606610066,True,-0.02898648606610066,True
Adj 1545,108,0,2020-04-03,2020-04-23,2020,Train,14,0.0,True,0.0,False
Adj 1545,109,-1,2020-04-24,2020-04-27,2020,Train,2,0.015431001376227216,True,0.015431001376227216,True
Adj 1545,110,0,2020-04-28,2020-05-07,2020,Train,5,0.0,True,0.0,False
Adj 1545,111,1,2020-05-08,2020-05-21,2020,Train,10,-0.009515607184077512,True,-0.009515607184077512,True
Adj 1545,112,0,2020-05-22,2020-06-04,2020,Train,10,0.0,True,0.0,False
Adj 1545,113,-1,2020-06-05,2020-06-08,2020,Train,2,0.0005015074313424739,True,0.0005015074313424739,True
Adj 1545,114,0,2020-06-09,2020-06-10,2020,Train,2,0.0,True,0.0,False
Adj 1545,115,1,2020-06-11,2020-06-23,2020,Train,9,0.03395677481314563,True,0.03395677481314563,True
Adj 1545,116,-1,2020-06-24,2020-06-24,2020,Train,1,0.005867275948987505,True,0.005867275948987505,True
Adj 1545,117,0,2020-06-29,2020-06-29,2020,Train,1,0.0,True,0.0,False
Adj 1545,118,1,2020-06-30,2020-07-13,2020,Train,10,0.17726664734383712,True,0.17726664734383712,True
Adj 1545,119,0,2020-07-14,2020-07-17,2020,Train,4,0.0,True,0.0,False
Adj 1545,120,-1,2020-07-20,2020-07-22,2020,Train,3,-0.022224060596933937,True,-0.022224060596933937,True
Adj 1545,121,0,2020-07-23,2020-07-29,2020,Train,5,0.0,True,0.0,False
Adj 1545,122,1,2020-07-30,2020-07-31,2020,Train,2,0.013387931940572084,True,0.013387931940572084,True
Adj 1545,123,0,2020-08-03,2020-08-10,2020,Train,6,0.0,True,0.0,False
