date,close_generated,score_generated,predicted_generated,actual_extreme_generated,correct_generated,direction_correct_generated,o2o_bp_generated,signed_o2o_bp_generated,phase_generated,close_local,score_local,predicted_local,actual_extreme_local,correct_local,direction_correct_local,o2o_bp_local,signed_o2o_bp_local,phase_local,_merge,match_close,match_score,match_predicted,match_actual_extreme,match_correct,match_direction_correct,match_o2o_bp,match_signed_o2o_bp,match_phase,all_columns_match,row_status
2020-08-05,6772.8422,0.4883630520352118,0,0,0,0,-54.62244332924193,54.62244332924193,development,6772.8422,0.4883630520352118,0,0,0,0,-54.62244332924193,54.62244332924193,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-06,6770.3016,0.4843448352983517,0,0,0,0,-113.7880649280032,113.7880649280032,development,6770.3016,0.4843448352983517,0,0,0,0,-113.7880649280032,113.7880649280032,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-07,6688.8822,0.4919243065433196,0,0,0,0,91.81511766465532,-91.81511766465532,development,6688.8822,0.4919243065433196,0,0,0,0,91.81511766465532,-91.81511766465532,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-10,6725.2956,0.4637198266050411,0,1,0,0,-219.63208844916983,219.63208844916983,development,6725.2956,0.4637198266050411,0,1,0,0,-219.63208844916983,219.63208844916983,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-11,6600.8472,0.4785462144227054,0,0,0,0,-42.00041890540574,42.00041890540574,development,6600.8472,0.4785462144227054,0,0,0,0,-42.00041890540574,42.00041890540574,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-12,6528.3999,0.5180965251141101,0,0,0,0,-14.904989714026318,14.904989714026318,development,6528.3999,0.5180965251141101,0,0,0,0,-14.904989714026318,14.904989714026318,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-13,6552.6567,0.5168992165364074,0,0,0,0,158.8642881475688,-158.8642881475688,development,6552.6567,0.5168992165364074,0,0,0,0,158.8642881475688,-158.8642881475688,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-14,6623.5633,0.5188588253682113,0,0,0,0,152.055163483662,-152.055163483662,development,6623.5633,0.5188588253682113,0,0,0,0,152.055163483662,-152.055163483662,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-17,6744.5468,0.4948929034829662,0,0,0,0,51.851279577546094,-51.851279577546094,development,6744.5468,0.4948929034829662,0,0,0,0,51.851279577546094,-51.851279577546094,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-18,6789.3979,0.503915789307623,0,1,0,0,-236.7646085093922,236.7646085093922,development,6789.3979,0.503915789307623,0,1,0,0,-236.7646085093922,236.7646085093922,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-19,6666.274,0.4616470061015023,0,0,0,0,10.412857869503966,-10.412857869503966,development,6666.274,0.4616470061015023,0,0,0,0,10.412857869503966,-10.412857869503966,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-20,6593.785,0.4901311904146306,0,0,0,0,57.921217616065945,-57.921217616065945,development,6593.785,0.4901311904146306,0,0,0,0,57.921217616065945,-57.921217616065945,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-21,6643.9444,0.4589754256076372,0,0,0,0,46.230885110982726,-46.230885110982726,development,6643.9444,0.4589754256076372,0,0,0,0,46.230885110982726,-46.230885110982726,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-24,6688.9647,0.4533753172694107,0,0,0,0,-71.17012362693575,71.17012362693575,development,6688.9647,0.4533753172694107,0,0,0,0,-71.17012362693575,71.17012362693575,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-25,6652.5478,0.4412653258041701,0,0,0,0,-168.88002599523722,168.88002599523722,development,6652.5478,0.4412653258041701,0,0,0,0,-168.88002599523722,168.88002599523722,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-26,6525.8786,0.3885866872595814,0,0,0,0,51.638416464925285,-51.638416464925285,development,6525.8786,0.3885866872595814,0,0,0,0,51.638416464925285,-51.638416464925285,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-27,6578.7912,0.4241880841328831,0,0,0,0,224.26975853444776,-224.26975853444776,development,6578.7912,0.4241880841328831,0,0,0,0,224.26975853444776,-224.26975853444776,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-28,6691.2096,0.4275750794169879,0,0,0,0,-77.56464120688756,77.56464120688756,development,6691.2096,0.4275750794169879,0,0,0,0,-77.56464120688756,77.56464120688756,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-08-31,6668.4331,0.4507345512024291,0,0,0,0,87.77834906815052,-87.77834906815052,development,6668.4331,0.4507345512024291,0,0,0,0,87.77834906815052,-87.77834906815052,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-01,6710.4599,0.4801559853135008,0,0,0,0,-15.741281494737748,15.741281494737748,development,6710.4599,0.4801559853135008,0,0,0,0,-15.741281494737748,15.741281494737748,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-02,6717.5579,0.4910676869074974,0,1,0,0,-251.993409126845,251.993409126845,development,6717.5579,0.4910676869074974,0,1,0,0,-251.993409126845,251.993409126845,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-03,6662.2515,0.3959693547557816,0,0,0,0,113.06365156263044,-113.06365156263044,development,6662.2515,0.3959693547557816,0,0,0,0,113.06365156263044,-113.06365156263044,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-04,6618.5762,0.6583729740265774,0,1,0,0,-190.52332254897777,190.52332254897777,development,6618.5762,0.6583729740265774,0,1,0,0,-190.52332254897777,190.52332254897777,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-07,6478.8124,0.6564619665684441,0,0,0,0,-59.2388983311809,59.2388983311809,development,6478.8124,0.6564619665684441,0,0,0,0,-59.2388983311809,59.2388983311809,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-08,6525.098,0.6976818466295609,1,0,0,1,-78.44818741570614,78.44818741570614,development,6525.098,0.6976818466295609,1,0,0,1,-78.44818741570614,78.44818741570614,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-09,6349.2234,0.6702085256400038,0,1,0,0,-304.27276394770166,304.27276394770166,development,6349.2234,0.6702085256400038,0,1,0,0,-304.27276394770166,304.27276394770166,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-10,6235.5687,0.646313780074975,0,0,0,0,226.36360168231784,-226.36360168231784,development,6235.5687,0.646313780074975,0,0,0,0,226.36360168231784,-226.36360168231784,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-11,6311.967,0.7091185128604831,1,0,0,0,1.073168333531882,-1.073168333531882,development,6311.967,0.7091185128604831,1,0,0,0,1.073168333531882,-1.073168333531882,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-14,6351.2422,0.6883253499991918,1,0,0,0,44.844962789223345,-44.844962789223345,development,6351.2422,0.6883253499991918,1,0,0,0,44.844962789223345,-44.844962789223345,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-15,6387.8805,0.6527827199293743,0,0,0,0,-53.05463682537148,53.05463682537148,development,6387.8805,0.6527827199293743,0,0,0,0,-53.05463682537148,53.05463682537148,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-16,6353.836,0.6355193289808787,0,0,0,0,34.859667727835664,-34.859667727835664,development,6353.836,0.6355193289808787,0,0,0,0,34.859667727835664,-34.859667727835664,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
2020-09-17,6367.0206,0.6366620427129397,0,0,0,0,195.40932577213565,-195.40932577213565,development,6367.0206,0.6366620427129397,0,0,0,0,195.40932577213565,-195.40932577213565,development,both,True,True,True,True,True,True,True,True,True,True,MATCH
